                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    342    96NAS     1       11       57     K471-3     33.6
                    343    96NAS     1        6       58     K473-3     36.9
                    344    96NAS     1        3       59     K531-4      9.1
                    345    96NAS     1        9       60     K487-4     35.9
                    346    96NAS     1        2       61     K491-3     29.8
                    347    96NAS     1       11       62     K495-3     37.7
                    348    96NAS     1       12       63     K501-3     24.2
                    349    96NAS     1        8       64     K502-3     24.9
                    350    96NAS     1       11       65     K556-4     16.2
                                         The SAS System     11:42 Thursday, November 1, 2001   8

                    Obs     env     rep    block    entry     line     yield

                    351    96NAS     1        4       66     K513-3     29.0
                    352    96NAS     1        2       67     K514-3     29.4
                    353    96NAS     1        4       68     K469-4     29.0
                    354    96NAS     1        3       69     K524-3     34.2
                    355    96NAS     1        1       70     K526-3     23.9
                    356    96NAS     1        8       71     K530-3     35.5
                    357    96NAS     1        2       72     K531-3     40.6
                    358    96NAS     1        4       73     K532-3     27.0
                    359    96NAS     1        2       74     K538-3     27.8
                    360    96NAS     1       11       75     K544-3     22.1
                    361    96NAS     1        3       76     K546-3     30.9
                    362    96NAS     1        7       77     K543-4     37.4
                    363    96NAS     1        6       78     K550-3     33.3
                    364    96NAS     1        5       79     K552-3     39.3
                    365    96NAS     1       12       80     K555-3     25.0
                    366    96NAS     1       12       81     K556-3     33.6
                    367    96NAS     1       11       82     K557-3     38.7
                    368    96NAS     1        1       83     K546-4     35.1
                    369    96NAS     1       11       84     K563-4     32.6
                    370    96NAS     1        8       85     K567-3     29.9
                    371    96NAS     1       11       86     K571-3       .
                    372    96NAS     1       12       87     K573-3     28.3
                    373    96NAS     1        4       88     K574-3     33.7
                    374    96NAS     1       10       89     K491-1     24.0
                    375    96NAS     1       10       90     K564-2     25.5
                    376    96NAS     1        9       91     K528-4     40.9
                    377    96NAS     1        8       92     K466-3     44.8
                    378    96NAS     1        9       93     K575-3     37.9
                    379    96NAS     1        5       94     K511-2     28.6
                    380    96NAS     1        4       95     K557-2     25.1
                    381    96NAS     2        1        1     K475-1     30.0
                    382    96NAS     2       11        2     K478-1     32.3
